date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:34	22845/22845	---M-Z	200	added ('OK')	text/html	etag:W/%222094bf9adb3d287cf488807a2eb230ff-gzip%22	https://kannikaenlinea.weebly.com/	C:/My%20Web%20Sites/prj1/kannikaenlinea.weebly.com/index.html	(from )
19:22:34	138/138	---M--	200	added ('OK')	text/plain	etag:W/%2212355c032605a9d2be6e4f66b46be6e8%22	https://kannikaenlinea.weebly.com/robots.txt		(from )
19:22:36	214956/214956	---M-Z	200	added ('OK')	text/css	etag:W/%2262eacb6f-347ac%22	http://cdn2.editmysite.com/css/sites.css?buildTime=1659557836	C:/My%20Web%20Sites/prj1/cdn2.editmysite.com/css/sitesdf65.css	(from https://kannikaenlinea.weebly.com/)
19:22:37	3911/3911	---M-Z	200	added ('OK')	text/css	etag:%2262eacb74-f47%22	http://cdn2.editmysite.com/css/old/fancybox.css?1659557836	C:/My%20Web%20Sites/prj1/cdn2.editmysite.com/css/old/fancybox4e0b.css	(from https://kannikaenlinea.weebly.com/)
19:22:37	13081/13081	---M-Z	200	added ('OK')	text/css	etag:W/%2262eacb6f-3319%22	http://cdn2.editmysite.com/css/social-icons.css?buildtime=1659557836	C:/My%20Web%20Sites/prj1/cdn2.editmysite.com/css/social-icons3d3a.css	(from https://kannikaenlinea.weebly.com/)
19:22:38	45361/45361	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Aug%202022%2023:24:28%20GMT	https://kannikaenlinea.weebly.com/files/main_style.css?1659560236	C:/My%20Web%20Sites/prj1/kannikaenlinea.weebly.com/files/main_style21ca.css	(from https://kannikaenlinea.weebly.com/)
19:22:38	7160/7160	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2003%20Aug%202022%2023:24:28%20GMT	https://kannikaenlinea.weebly.com/files/templateArtifacts.js?1659560236	C:/My%20Web%20Sites/prj1/kannikaenlinea.weebly.com/files/templateArtifacts21ca.js	(from https://kannikaenlinea.weebly.com/)
19:22:42	180695/180695	---M-Z	200	added ('OK')	application/javascript	etag:%2262eacb37-2c1d7%22	http://cdn2.editmysite.com/js/lang/en/stl.js?buildTime=1659557836&	C:/My%20Web%20Sites/prj1/cdn2.editmysite.com/js/lang/en/stl3db6.js	(from https://kannikaenlinea.weebly.com/)
19:22:44	850/850	---MC-	200	added ('OK')	text/javascript	date:Wed,%2003%20Aug%202022%2023:24:33%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/prj1/www.google.com/recaptcha/api.js	(from https://kannikaenlinea.weebly.com/)
19:22:45	44/44	---M--	200	added ('OK')	application/javascript	etag:%2262e8eb98-2c%22	http://static.zotabox.com/6/9/6972ea4fe8e76a20caa3b853ee786fd5/widgets.js	C:/My%20Web%20Sites/prj1/static.zotabox.com/6/9/6972ea4fe8e76a20caa3b853ee786fd5/widgets.js	(from https://kannikaenlinea.weebly.com/)
